;Class;Source;Target;Total;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;Creation
1;AbstractAccessTask;0;0;0;109;22;0;16;56.9;1;6;1.5;2;2;1.09;1.17;11;0;1;0;0;0;0;0;0;6;0;2;6;21;15;2;5;35;10;10;24;40.7;0;0;1;1;5;0.5;0;0;9;6;6;15;1157136567
2;AbstractAnalyzer;0;0;0;284;81;17.3;38;51.1;1;14;3.5;8;6;2.01;2;49;5;5;0;1;0;0;0;0;16;1;3;3;40;80;3;10;113;32;32;81;41.8;0;0;9;8;130;3.8;0;1;48;10;15;12;1157136567
3;AbstractCvsTask;0;0;0;832;271;18.5;152;40.5;1;43;4.37;21;5;2.16;2.44;184;45;7;8;4;3;0;1;3;43;0;4;15;111;781;4;33;386;94;94;176;31.3;0;0;26;26;231;2;0;0;178;19;28;43;1189596915
4;AbstractFileSet;0;0;0;828;300;15.3;213;40.6;1;60;3.35;11;5;1.9;1.92;212;36;30;3;13;3;0;0;3;60;0;3;29;123;1198;9;58;420;153;153;169;28.7;0;99;13;13;159;1.3;0;0;198;58;59;58;1187786631
5;AbstractHotDeploymentTool;0;0;0;193;42;9.5;11;57.5;1;12;1.58;4;3;1.45;1.33;10;0;0;0;0;0;0;0;0;15;1;2;5;24;77;2;13;59;10;10;62;51.2;0;0;1;1;5;0.3;0;0;19;4;5;14;1157136567
6;AbstractJarSignerTask;0;0;0;379;117;10.3;58;49.6;1;23;2.96;5;4;1.73;1.57;59;13;2;1;0;0;0;0;0;24;0;2;12;65;222;2;13;154;35;35;81;34.5;0;38;9;9;147;3.2;0;0;67;12;22;12;1162767827
7;AbstractScriptComponent;0;0;0;152;40;2.5;17;54.6;1;12;1.42;2;3;1.22;1.08;18;2;1;0;0;0;0;0;0;13;0;2;6;27;0;2;10;54;14;14;29;34.9;0;0;1;1;5;0.3;0;0;17;10;12;8;1183043644
8;AbstractSelectorContainer;0;0;0;288;73;6.8;41;51;1;26;1.5;4;5;1.6;1.19;48;9;1;1;0;0;0;0;0;27;0;2;23;41;321;2;27;106;31;31;73;40.8;0;227;4;4;95;3;0;0;39;27;26;3;1157136567
9;AbstractSshMessage;0;0;0;272;101;15.8;36;35.3;3;5.67;3.59;10;6;2.12;2;87;9;2;0;4;8;0;0;8;13;1;2;8;14;78;3;4;142;32;16;51;26.4;3;0;13;13;113;2.7;0;0;57;7;15;18;1190628000
10;AggregateTransformer;0;0;0;345;146;9.6;89;36.8;2;7;6.5;6;4;1.77;2;87;17;11;0;6;1;1;0;1;14;1;0;14;86;41;3;8;179;33;16.5;66;26.9;0;0;4;3;25;0.5;1;0;89;11;14;48;1184693617
