;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total
1;AbbreviateAction;0;0;0;0;9;0;0;5;35;4;0;0;11;21;0;1;4;82;38;15.8;19;22;1;4;5.5;7;4;1.66;2.5;217;52;10;10;1;1.9;1;17;2;2;25;1.6;0;0;22;2;4;32;1364106558;0;0;0
2;Abbreviation;0;0;0;0;2;0;0;7;38;10;1;0;0;21;13;10;10;71;39;15.4;25;1.4;1;9;2.67;4;3;1.74;1.67;506;57;19;19;1;1.7;5;0;2;2;15;0.9;0;0;23;5;8;13;1438214712;0;0;0
3;AbbreviationParser;0;0;0;1;4;0;0;10;45;8;1;0;3;37;2;2;5;116;61;16.4;30;21.6;4;1.5;5.83;5;4;1.59;2.83;507;76;21;21;5;6.2;4;0;2;2;15;0.7;0;0;28;5;6;15;1438214712;0;0;0
4;AboutAction;0;0;0;0;0;0;0;0;12;2;0;0;2;5;0;1;2;39;14;0;4;38.5;1;2;2.5;1;2;0.93;1;212;18;2;2;0;0;2;0;1;1;5;0.9;0;0;5;2;2;2;1453853820;0;0;0
5;AboutDialog;0;0;0;0;0;0;0;0;19;2;6;0;6;50;1;2;1;113;68;0;61;14.2;1;1;43;0;2;1.28;0;213;80;2;2;1;1.2;2;0;2;2;245;10.2;0;0;43;2;2;8;1453853820;0;0;0
6;AbstractAutoCompleter;0;0;0;2;1;0;3;3;43;10;1;4;2;37;37;4;7;147;58;13.8;31;33.3;1;8;4.38;6;4;1.69;2;417;78;21;21;20;20.4;1;0;1;1;5;0.2;0;0;35;2;8;35;1364106558;0;0;0
7;AbstractGroup;0;0;0;0;2;2;2;0;32;22;1;3;9;32;213;35;21;230;63;14.3;22;50.9;1;12;2.33;5;4;1.48;1.75;490;86;24;24;54;38.6;2;0;1;1;5;0.2;0;0;30;17;18;50;1364106558;0;0;0
8;AbstractLabelPattern;0;0;0;0;2;0;0;0;34;12;1;2;1;28;0;9;12;133;45;11.1;23;39.8;1;10;2.5;5;4;1.56;1.7;516;64;20;20;21;24.7;3;0;1;1;5;0.3;0;0;25;9;11;9;1456089841;2;4;6
9;AbstractParamLayoutFormatter;0;0;0;0;7;7;0;11;33;2;1;5;1;12;1;5;1;71;33;33.3;26;36.6;1;1;27;14;6;3.12;14;520;40;11;11;7;14.9;0;0;4;4;56;4.7;0;0;24;1;1;17;1364106558;0;0;0
10;AbstractPushToApplication;0;1;0;1;1;0;1;13;60;14;1;7;13;45;69;7;8;183;88;9.1;61;24;1;12;4;5;3;1.47;1.83;82;116;20;20;16;12.1;0;0;2;2;13;0.4;0;0;45;1;12;25;1444233226;0;0;0
11;AbstractWorker;0;0;0;0;0;0;2;0;8;5;1;21;3;8;6;25;5;69;14;0;2;55.1;1;5;0.8;1;2;1.07;1;321;21;3;3;15;41.7;2;0;1;1;5;0.8;0;0;4;3;3;17;1364106558;0;5;5
12;ACMPortalFetcher;0;0;0;0;8;12;5;62;231;21;1;0;19;106;162;2;10;429;251;15.1;175;10.7;2;9;8.94;11;8;2.38;3.47;354;321;63;63;26;7.5;1;0;12;11;122;1.3;1;0;153;1;16;64;1227644576;9;0;9
13;ACS;0;0;0;0;2;0;0;7;20;3;1;0;11;23;1;2;2;56;27;7.4;18;26.8;1;1;11;3;4;1.22;3;480;32;3;3;9;22;0;0;1;1;5;0.5;0;0;11;1;1;11;1459518708;0;0;0
14;Actions;0;0;0;0;0;0;0;0;70;1;1;0;0;2;0;0;1;67;61;0;0;4.5;1;0;0;0;1;0.97;0;138;62;0;0;1;1.6;0;0;2;2;35;1.9;0;0;0;1;0;19;1440755077;0;0;0
15;AddToGroupAction;0;1;0;1;1;0;0;26;60;8;2;0;15;46;0;2;7;125;61;13.1;58;19.2;1;7;5.29;5;4;1.54;2.29;193;81;15;15;7;8;4;0;2;2;10;0.4;0;0;38;5;5;39;1364106558;0;0;0
16;ADSFetcher;0;0;0;0;8;4;0;20;80;10;1;0;11;56;39;1;6;187;97;14.4;67;19.8;2;4;7.88;11;5;2.03;3.25;355;133;27;27;10;7;0;0;9;9;44;1.1;0;0;56;1;8;37;1364106558;3;0;3
17;AdvancedCiteDialog;0;0;0;0;0;0;1;1;29;10;1;0;13;60;13;2;5;127;77;2.6;64;14.2;2;3;8;3;4;1.47;1.33;254;89;6;6;1;1.1;3;0;1;1;5;0.2;0;0;47;3;4;26;1364106558;0;0;0
18;AdvancedTab;0;2;0;2;0;0;0;13;49;8;5;0;15;60;2;1;5;190;99;0;126;8.9;1;1;70;0;2;1.51;0;267;147;19;19;2;1.3;0;0;2;2;15;0.3;0;0;76;0;7;118;1097700463;0;0;0
19;AllEntriesGroup;2;0;0;2;0;0;0;0;26;15;0;0;5;23;105;13;15;111;38;2.6;9;19.8;1;13;1.15;2;3;1.29;1.08;491;70;17;17;5;6.7;2;0;3;3;10;0.5;0;0;17;3;15;48;1364106558;0;0;0
20;AndMatcher;0;0;0;0;3;0;0;0;8;2;0;0;3;8;1;2;2;41;10;20;2;51.2;1;1;5;3;4;1.4;3;631;15;3;3;4;21.1;0;0;1;1;5;1.1;0;0;6;1;1;1;1455726212;0;0;0
21;AppearancePrefsTab;0;1;1;2;3;0;2;12;92;11;5;0;15;81;29;1;5;293;185;4.9;191;10.9;2;3.5;19.43;7;5;1.9;2.57;268;229;20;10;14;5.8;1;0;3;3;45;0.7;0;0;137;1;7;55;1133742489;0;0;0
22;AppendDatabaseAction;2;0;1;3;13;12;3;11;94;6;1;0;33;78;3;1;2;198;108;15.7;74;16.7;1;5;13.2;13;6;2.09;5.25;327;141;24;24;16;10.2;1;0;5;4;33;0.8;1;0;69;2;4;72;1364106558;0;0;0
23;ArgumentProcessor;0;0;0;0;25;21;9;139;333;20;1;0;41;154;100;2;5;569;315;24.1;320;8.3;2;8;15.56;24;7;2.6;6.85;14;442;110;55;41;8.5;6;0;55;55;576;4.3;0;0;240;6;17;6;1460994169;5;0;5
